gen,kind,idx,fit,wins,ties,margin,sigma
25,15,80215,8,0,215,0.1400924115763115
26,20,80254,8,0,254,0.13588963922902214
27,22,70256,7,0,256,0.13181295005215146
28,19,90285,9,0,285,0.12785856155058692
29,16,72198,7,1,198,0.1240228047040693
30,20,80278,8,0,278,0.12030212056294722
31,1,90245,9,0,245,0.11669305694605879
32,3,80295,8,0,295,0.11319226523767702
33,2,80248,8,0,248,0.1097964972805467
34,7,80241,8,0,241,0.1065026023621303
35,12,80295,8,0,295,0.10330752429126638
36,13,90163,9,0,163,0.10020829856252839
37,19,90289,9,0,289,0.09720204960565253
38,0,80173,8,0,173,0.09428598811748296
39,23,90219,9,0,219,0.09145740847395846
40,2,80301,8,0,301,0.0887136862197397
41,13,82280,8,1,280,0.0860522756331475
42,0,90401,9,0,401,0.08347070736415307
43,11,82222,8,1,222,0.08096658614322848
44,3,90246,9,0,246,0.07853758855893161
45,3,90241,9,0,241,0.07618146090216367
46,19,90266,9,0,266,0.07389601707509875
47,14,80325,8,0,325,0.07167913656284579
48,4,82330,8,1,330,0.06952876246596042
49,19,70286,7,0,286,0.0674428995919816
50,9,90318,9,0,318,0.06541961260422215
51,10,90277,9,0,277,0.06345702422609548
52,2,80252,8,0,252,0.06155331349931261
53,0,80284,8,0,284,0.06
54,8,90263,9,0,263,0.06
55,7,100198,10,0,198,0.06
56,20,72270,7,1,270,0.06
57,21,80259,8,0,259,0.06
58,18,92256,9,1,256,0.06
59,17,82344,8,1,344,0.06
60,3,80331,8,0,331,0.06
