generation,kind,index,fitness,wins,ties,margin,sigma
2,child,6,60175,6,0,175,0.28226999999999997
2,child,7,60222,6,0,222,0.28226999999999997
2,child,8,60179,6,0,179,0.28226999999999997
2,child,9,60281,6,0,281,0.28226999999999997
2,child,10,60242,6,0,242,0.28226999999999997
2,child,11,60108,6,0,108,0.28226999999999997
2,child,12,60165,6,0,165,0.28226999999999997
2,child,13,50162,5,0,162,0.28226999999999997
2,child,14,60448,6,0,448,0.28226999999999997
2,child,15,39997,4,0,-3,0.28226999999999997
2,child,16,60352,6,0,352,0.28226999999999997
2,child,17,60181,6,0,181,0.28226999999999997
2,child,18,60148,6,0,148,0.28226999999999997
2,child,19,60055,6,0,55,0.28226999999999997
2,child,20,60400,6,0,400,0.28226999999999997
2,child,21,60242,6,0,242,0.28226999999999997
2,child,22,60232,6,0,232,0.28226999999999997
2,child,23,60248,6,0,248,0.28226999999999997
3,champion,-1,60476,6,0,476,0.27380189999999993
3,child,0,60148,6,0,148,0.27380189999999993
3,child,1,50134,5,0,134,0.27380189999999993
3,child,2,60300,6,0,300,0.27380189999999993
3,child,3,60419,6,0,419,0.27380189999999993
3,child,4,60333,6,0,333,0.27380189999999993
3,child,5,60200,6,0,200,0.27380189999999993
3,child,6,60187,6,0,187,0.27380189999999993
3,child,7,60418,6,0,418,0.27380189999999993
3,child,8,60229,6,0,229,0.27380189999999993
3,child,9,60180,6,0,180,0.27380189999999993
3,child,10,60171,6,0,171,0.27380189999999993
3,child,11,60209,6,0,209,0.27380189999999993
3,child,12,60392,6,0,392,0.27380189999999993
3,child,13,60190,6,0,190,0.27380189999999993
3,child,14,60161,6,0,161,0.27380189999999993
3,child,15,60109,6,0,109,0.27380189999999993
3,child,16,50168,5,0,168,0.27380189999999993
3,child,17,60265,6,0,265,0.27380189999999993
3,child,18,60484,6,0,484,0.27380189999999993
3,child,19,60333,6,0,333,0.27380189999999993
3,child,20,60069,6,0,69,0.27380189999999993
3,child,21,50165,5,0,165,0.27380189999999993
3,child,22,60080,6,0,80,0.27380189999999993
3,child,23,60258,6,0,258,0.27380189999999993
4,champion,-1,60454,6,0,454,0.26558784299999993
4,child,0,60116,6,0,116,0.26558784299999993
4,child,1,60375,6,0,375,0.26558784299999993
4,child,2,60241,6,0,241,0.26558784299999993
4,child,3,50310,5,0,310,0.26558784299999993
4,child,4,60493,6,0,493,0.26558784299999993
4,child,5,50110,5,0,110,0.26558784299999993
4,child,6,60173,6,0,173,0.26558784299999993
4,child,7,60104,6,0,104,0.26558784299999993
4,child,8,60421,6,0,421,0.26558784299999993
4,child,9,60337,6,0,337,0.26558784299999993
4,child,10,60084,6,0,84,0.26558784299999993
4,child,11,60306,6,0,306,0.26558784299999993
4,child,12,60444,6,0,444,0.26558784299999993
4,child,13,60261,6,0,261,0.26558784299999993
4,child,14,60343,6,0,343,0.26558784299999993
4,child,15,60384,6,0,384,0.26558784299999993
4,child,16,60295,6,0,295,0.26558784299999993
4,child,17,60425,6,0,425,0.26558784299999993
4,child,18,50171,5,0,171,0.26558784299999993
4,child,19,50109,5,0,109,0.26558784299999993
4,child,20,60190,6,0,190,0.26558784299999993
4,child,21,60305,6,0,305,0.26558784299999993
4,child,22,60308,6,0,308,0.26558784299999993
4,child,23,60433,6,0,433,0.26558784299999993
5,champion,-1,60475,6,0,475,0.25762020770999994
5,child,0,60489,6,0,489,0.25762020770999994
5,child,1,60235,6,0,235,0.25762020770999994
5,child,2,60343,6,0,343,0.25762020770999994
5,child,3,60454,6,0,454,0.25762020770999994
5,child,4,60323,6,0,323,0.25762020770999994
